Year,Month,Day,Tmin,Tair,Tmax,Prcp,Snow,SnDh
2000,1,1,-13.5,-10.3,-7.0,4.0,4.0,21.0
2000,1,2,-9.5,-7.8,-6.0,8.6,8.6,22.0
2000,1,3,-12.0,-7.8,-3.5,2.6,2.6,29.0
2000,1,4,-12.0,-4.0,4.0,0.0,0.0,31.0
2000,1,5,-19.0,-15.5,-12.0,0.0,0.0,26.0
2000,1,6,-26.0,-17.5,-9.0,0.0,0.0,26.0
2000,1,7,-12.0,-6.5,-1.0,0.0,0.0,25.0
2000,1,8,-17.0,-11.8,-6.5,2.2,2.2,25.0
2000,1,9,-10.0,-5.5,-1.0,0.0,0.0,26.0
2000,1,10,-4.0,-1.3,1.5,25.8,25.8,26.0
2000,1,11,-2.0,0.8,3.5,0.0,0.0,51.0
2000,1,12,-9.5,-8.3,-7.0,0.0,0.0,47.0
2000,1,13,-20.0,-17.5,-15.0,0.0,0.0,47.0
2000,1,14,-24.0,-21.5,-19.0,0.0,0.0,47.0
2000,1,15,-36.0,-24.8,-13.5,7.6,7.6,47.0
2000,1,16,-24.0,-16.5,-9.0,6.4,6.4,54.0
2000,1,17,-26.5,-22.5,-18.5,0.0,0.0,60.0
2000,1,18,-31.0,-24.3,-17.5,0.0,0.0,60.0
2000,1,19,-35.0,-25.0,-15.0,0.6,0.6,60.0
2000,1,20,-25.0,-18.5,-12.0,0.0,0.0,60.0
2000,1,21,-21.0,-20.0,-19.0,0.0,0.0,59.0
2000,1,22,-24.0,-22.0,-20.0,0.0,0.0,59.0
2000,1,23,-35.5,-25.5,-15.5,8.4,8.4,59.0
2000,1,24,-18.0,-11.5,-5.0,0.8,0.8,67.0
2000,1,25,-24.0,-16.0,-8.0,12.8,12.8,67.0
2000,1,26,-10.0,-8.5,-7.0,7.4,7.4,79.0
2000,1,27,-19.0,-17.0,-15.0,0.0,0.0,85.0
2000,1,28,-20.0,-15.8,-11.5,0.0,0.0,85.0
2000,1,29,-29.0,-17.5,-6.0,0.0,0.0,85.0
2000,1,30,-26.0,-13.8,-1.5,0.8,0.8,84.0
2000,1,31,-999.0,-999.0,-999.0,-999.0,-999.0,84.0
2000,2,2,-17.5,-12.3,-7.0,0.0,0.0,88.0
2000,2,3,-17.5,-12.5,-7.5,0.0,0.0,88.0
2000,2,4,-31.5,-19.8,-8.0,0.0,0.0,86.0
2000,2,5,-30.0,-17.8,-5.5,0.0,0.0,86.0
2000,2,6,-22.5,-13.0,-3.5,1.2,1.2,86.0
2000,2,7,-15.5,-10.5,-5.5,0.0,0.0,86.0
2000,2,8,-33.0,-19.0,-5.0,0.0,0.0,86.0
2000,2,9,-10.0,-5.3,-0.5,1.6,1.6,86.0
2000,2,10,-30.0,-20.5,-11.0,8.0,8.0,87.0
2000,2,11,-13.5,-10.5,-7.5,1.2,1.2,95.0
2000,2,12,-32.0,-19.5,-7.0,0.0,0.0,96.0
2000,2,13,-28.5,-17.3,-6.0,1.6,1.6,96.0
2000,2,14,-21.0,-15.0,-9.0,4.4,4.4,97.0
2000,2,15,-11.5,-7.0,-2.5,3.4,3.4,101.0
2000,2,16,-17.5,-9.5,-1.5,2.0,2.0,104.0
2000,2,17,-27.5,-20.3,-13.0,0.0,0.0,106.0
2000,2,18,-29.5,-17.5,-5.5,0.0,0.0,106.0
2000,2,19,-29.0,-15.3,-1.5,0.0,0.0,105.0
2000,2,20,-27.0,-14.3,-1.5,0.8,0.8,105.0
2000,2,21,-27.5,-16.0,-4.5,0.0,0.0,105.0
2000,2,22,-23.5,-11.0,1.5,2.2,1.2,104.0
2000,2,23,-1.5,2.3,6.0,0.6,0.0,102.0
2000,2,24,-4.0,2.0,8.0,0.0,0.0,98.0
2000,2,25,-14.0,-4.5,5.0,0.0,0.0,90.0
2000,2,26,-8.5,-2.0,4.5,0.0,0.0,86.0
2000,2,27,3.0,7.3,11.5,2.6,0.0,70.0
2000,2,28,1.0,3.3,5.5,1.2,0.0,40.0
2000,2,29,-4.0,0.5,5.0,0.0,0.0,35.0
2000,3,1,-9.5,-2.5,4.5,1.4,1.4,33.0
2000,3,2,0.0,1.3,2.5,2.8,0.0,34.0
2000,3,3,-3.5,-2.3,-1.0,0.0,0.0,32.0
2000,3,4,-3.0,0.5,4.0,0.0,0.0,26.0
2000,3,5,-5.0,-1.0,3.0,0.0,0.0,26.0
2000,3,6,-6.0,-1.0,4.0,0.0,0.0,24.0
2000,3,7,-5.0,2.8,10.5,0.0,0.0,22.0
2000,3,8,-7.0,0.3,7.5,2.6,0.0,19.0
2000,3,9,-4.0,0.0,4.0,2.0,0.0,18.0
2000,3,10,-16.0,-10.5,-5.0,0.0,0.0,16.0
2000,3,11,-17.0,-10.0,-3.0,5.8,5.8,16.0
2000,3,12,-4.5,-2.5,-0.5,2.6,2.6,21.0
2000,3,13,-16.5,-9.0,-1.5,0.0,0.0,23.0
2000,3,14,-19.0,-9.5,0.0,4.0,4.0,22.0
2000,3,15,-4.5,-1.5,1.5,0.8,0.8,25.0
2000,3,16,-6.5,-4.8,-3.0,0.0,0.0,24.0
2000,3,17,-14.0,-10.3,-6.5,0.0,0.0,24.0
2000,3,18,-24.5,-12.8,-1.0,0.0,0.0,23.0
2000,3,19,-20.0,-7.5,5.0,0.0,0.0,23.0
2000,3,20,-4.0,1.3,6.5,0.0,0.0,22.0
2000,3,21,-8.0,2.0,12.0,0.0,0.0,20.0
2000,3,22,-8.5,1.8,12.0,0.0,0.0,18.0
2000,3,23,-4.0,5.5,15.0,0.0,0.0,15.0
2000,3,24,-6.0,2.3,10.5,0.0,0.0,12.0
2000,3,25,-7.0,1.0,9.0,0.8,0.0,10.0
2000,3,26,0.5,5.3,10.0,0.0,0.0,8.0
2000,3,27,-5.0,2.8,10.5,1.2,0.0,7.0
2000,3,28,0.0,3.8,7.5,31.4,0.0,4.0
2000,3,29,2.0,4.0,6.0,1.4,0.0,0.0
2000,3,30,0.5,2.8,5.0,0.8,0.0,0.0
2000,3,31,-2.0,2.5,7.0,0.0,0.0,0.0
2000,4,1,-1.5,5.5,12.5,0.0,0.0,0.0
2000,4,2,0.0,2.8,5.5,4.8,0.0,0.0
2000,4,3,-2.0,6.5,15.0,9.6,0.0,0.0
2000,4,4,0.0,3.0,6.0,2.0,-999.0,2.0
2000,4,5,-1.5,-0.3,1.0,0.0,0.0,0.0
2000,4,6,-3.0,2.3,7.5,0.0,0.0,0.0
2000,4,7,-4.0,3.0,10.0,3.8,3.8,3.0
2000,4,8,-1.5,-1.5,-1.5,39.0,39.0,42.0
2000,4,9,-4.0,-2.5,-1.0,31.4,31.4,50.0
2000,4,10,-4.5,-0.3,4.0,0.0,0.0,68.0
2000,4,11,-10.0,-4.0,2.0,1.2,1.2,65.0
2000,4,12,-8.0,-3.0,2.0,0.0,0.0,60.0
2000,4,13,-14.0,-4.0,6.0,0.0,0.0,58.0
2000,4,14,-10.5,-1.3,8.0,3.6,0.0,40.0
2000,4,15,1.5,2.8,4.0,8.4,0.0,28.0
2000,4,16,0.5,2.3,4.0,0.0,0.0,22.0
2000,4,17,-10.0,-2.5,5.0,0.0,0.0,19.0
2000,4,18,-9.5,-0.3,9.0,0.0,0.0,10.0
2000,4,19,2.0,5.5,9.0,0.8,0.0,7.0
2000,4,20,-0.5,4.8,10.0,0.0,0.0,4.0
2000,4,21,-1.0,4.5,10.0,0.0,0.0,0.0
2000,4,22,-999.0,-999.0,-999.0,3.6,-999.0,-999.0
2000,4,23,2.0,5.5,9.0,0.0,0.0,0.0
2000,4,24,5.0,9.0,13.0,0.0,0.0,0.0
2000,4,25,-5.0,3.0,11.0,0.0,0.0,0.0
2000,4,26,-7.0,3.8,14.5,0.0,0.0,0.0
2000,4,27,-5.0,4.5,14.0,0.0,0.0,0.0
2000,4,28,-3.5,8.3,20.0,0.0,0.0,0.0
2000,4,29,-1.5,5.5,12.5,0.6,0.0,0.0
2000,4,30,-1.5,4.8,11.0,0.0,0.0,0.0
2000,5,1,-4.5,4.3,13.0,2.6,0.0,0.0
2000,5,2,-2.0,5.0,12.0,0.0,0.0,0.0
2000,5,3,-4.0,7.3,18.5,0.0,0.0,0.0
2000,5,4,-1.0,11.5,24.0,0.0,0.0,0.0
2000,5,5,9.0,14.5,20.0,0.0,0.0,0.0
2000,5,6,-1.0,7.5,16.0,5.0,0.0,0.0
2000,5,7,5.0,17.0,29.0,6.6,0.0,0.0
2000,5,8,10.0,15.3,20.5,1.4,0.0,0.0
2000,5,9,7.0,8.0,9.0,11.6,0.0,0.0
2000,5,10,5.0,6.5,8.0,22.8,0.0,0.0
2000,5,11,6.0,9.5,13.0,0.0,0.0,0.0
2000,5,12,1.0,10.0,19.0,0.8,0.0,0.0
2000,5,13,5.0,10.0,15.0,3.2,-999.0,-999.0
2000,5,14,5.0,11.0,17.0,10.8,0.0,0.0
2000,5,15,2.0,8.3,14.5,0.0,0.0,0.0
2000,5,16,1.0,8.8,16.5,3.0,0.0,0.0
2000,5,17,2.0,10.5,19.0,8.8,0.0,0.0
2000,5,18,6.0,8.5,11.0,7.4,0.0,0.0
2000,5,19,-4.0,5.0,14.0,0.0,0.0,0.0
2000,5,20,-2.5,8.3,19.0,0.0,0.0,0.0
2000,5,21,-1.0,10.0,21.0,0.0,0.0,0.0
2000,5,22,4.5,13.3,22.0,1.2,0.0,0.0
2000,5,23,10.5,13.0,15.5,0.8,0.0,0.0
2000,5,24,10.0,12.8,15.5,6.0,0.0,0.0
2000,5,25,10.0,13.3,16.5,4.4,0.0,0.0
2000,5,26,10.0,12.8,15.5,0.0,0.0,0.0
2000,5,27,7.5,9.3,11.0,0.0,-999.0,0.0
2000,5,28,9.5,12.5,15.5,0.0,0.0,0.0
2000,5,29,5.0,12.0,19.0,0.0,0.0,0.0
2000,5,30,2.0,12.5,23.0,0.0,0.0,0.0
2000,5,31,11.0,15.3,19.5,0.6,0.0,0.0
2000,6,1,8.5,16.0,23.5,0.0,0.0,0.0
2000,6,2,5.0,9.0,13.0,6.2,0.0,0.0
2000,6,3,4.5,11.3,18.0,0.0,0.0,0.0
2000,6,4,-1.0,7.5,16.0,0.0,0.0,0.0
2000,6,5,-1.0,9.0,19.0,0.0,0.0,0.0
2000,6,6,3.0,9.3,15.5,0.0,0.0,0.0
2000,6,7,7.5,13.5,19.5,0.0,0.0,0.0
2000,6,8,0.0,8.3,16.5,3.6,0.0,0.0
2000,6,9,6.0,12.5,19.0,0.0,0.0,0.0
2000,6,10,7.5,9.8,12.0,2.6,0.0,0.0
2000,6,11,5.0,10.5,16.0,0.0,0.0,0.0
2000,6,12,-0.5,10.3,21.0,0.0,0.0,0.0
2000,6,13,2.0,12.3,22.5,0.0,0.0,0.0
2000,6,14,4.5,10.5,16.5,1.2,0.0,0.0
2000,6,15,13.0,16.8,20.5,10.2,0.0,0.0
2000,6,16,15.0,21.0,27.0,0.0,0.0,0.0
2000,6,17,17.0,20.5,24.0,0.0,0.0,0.0
2000,6,18,3.0,9.3,15.5,0.0,0.0,0.0
2000,6,19,4.0,13.3,22.5,0.0,0.0,0.0
