Year,Month,Day,Tmin,Tair,Tmax,Prcp,Tdew,RelH,WndS,WndD,Pres,SnDh
2000,1,1,-12.1,-8.2,-3.4,-999.0,-11.3,78.3,-999.0,176.7,-999.0,-999.0
2000,1,2,-3.2,-1.8,-0.5,-999.0,-3.9,85.6,-999.0,47.9,-999.0,-999.0
2000,1,3,-5.1,-1.9,3.6,-999.0,-5.6,77.0,-999.0,127.5,-999.0,-999.0
2000,1,4,-5.6,0.1,6.5,-999.0,-2.6,83.3,-999.0,131.2,-999.0,-999.0
2000,1,5,-14.9,-9.8,-4.1,-999.0,-16.7,57.9,-999.0,272.9,-999.0,-999.0
2000,1,6,-15.0,-10.0,-2.7,-999.0,-13.8,74.2,-999.0,183.8,-999.0,-999.0
2000,1,7,-7.1,-2.6,1.3,-999.0,-6.0,78.4,-999.0,205.8,-999.0,-999.0
2000,1,8,-11.2,-7.2,-4.7,-999.0,-12.7,65.4,-999.0,198.3,-999.0,-999.0
2000,1,9,-6.3,-1.2,3.4,-999.0,-4.2,80.0,-999.0,205.8,-999.0,-999.0
2000,1,10,-1.0,1.0,3.7,-999.0,-1.1,86.4,-999.0,54.6,-999.0,-999.0
2000,1,11,0.1,2.6,4.6,-999.0,-0.3,81.7,-999.0,172.9,-999.0,-999.0
2000,1,12,-12.7,-5.5,0.6,-999.0,-12.2,59.2,-999.0,287.9,-999.0,-999.0
2000,1,13,-18.9,-15.9,-13.4,-999.0,-22.3,58.2,-999.0,282.5,-999.0,-999.0
2000,1,14,-21.8,-19.4,-16.5,-999.0,-27.0,50.9,-999.0,273.8,-999.0,-999.0
2000,1,15,-26.7,-21.2,-16.5,-999.0,-27.0,60.5,-999.0,145.0,-999.0,-999.0
2000,1,16,-19.9,-11.6,-4.8,-999.0,-15.3,75.0,-999.0,228.8,-999.0,-999.0
2000,1,17,-25.0,-21.5,-17.1,-999.0,-29.0,51.2,-999.0,298.3,-999.0,-999.0
2000,1,18,-29.5,-24.0,-17.3,-999.0,-29.0,64.2,-999.0,202.1,-999.0,-999.0
2000,1,19,-32.0,-23.5,-15.3,-999.0,-28.0,66.7,-999.0,211.2,-999.0,-999.0
2000,1,20,-21.5,-15.6,-12.2,-999.0,-18.7,77.5,-999.0,105.0,-999.0,-999.0
2000,1,21,-19.9,-17.5,-14.9,-999.0,-24.3,55.9,-999.0,322.5,-999.0,-999.0
2000,1,22,-22.9,-21.2,-18.1,-999.0,-28.7,51.2,-999.0,254.6,-999.0,-999.0
2000,1,23,-30.3,-21.6,-16.3,-999.0,-26.6,64.0,-999.0,92.9,-999.0,-999.0
2000,1,24,-19.3,-12.0,-4.6,-999.0,-15.1,77.9,-999.0,147.5,-999.0,-999.0
2000,1,25,-22.1,-12.5,-6.3,-999.0,-14.9,81.8,-999.0,91.7,-999.0,-999.0
2000,1,26,-11.8,-7.1,-5.6,-999.0,-10.3,78.2,-999.0,324.2,-999.0,-999.0
2000,1,27,-16.9,-14.5,-12.0,-999.0,-20.3,61.3,-999.0,308.3,-999.0,-999.0
2000,1,28,-20.1,-16.3,-12.9,-999.0,-22.3,60.2,-999.0,270.8,-999.0,-999.0
2000,1,29,-22.0,-14.3,-8.0,-999.0,-20.1,62.9,-999.0,216.2,-999.0,-999.0
2000,1,30,-15.8,-9.7,-3.6,-999.0,-14.0,71.0,-999.0,151.2,-999.0,-999.0
2000,1,31,-8.0,-4.3,-0.5,-999.0,-6.5,84.4,-999.0,177.5,-999.0,-999.0
2000,2,1,-10.0,-3.9,-1.0,-999.0,-8.9,69.4,-999.0,263.8,-999.0,-999.0
2000,2,2,-18.6,-13.6,-10.6,-999.0,-19.3,62.7,-999.0,277.8,-999.0,-999.0
2000,2,3,-25.3,-19.0,-11.1,-999.0,-23.0,71.3,-999.0,203.8,-999.0,-999.0
2000,2,4,-27.9,-19.4,-9.5,-999.0,-24.5,65.6,-999.0,178.8,-999.0,-999.0
2000,2,5,-23.6,-13.1,-7.3,-999.0,-16.9,73.7,-999.0,220.8,-999.0,-999.0
2000,2,6,-15.4,-9.9,-3.2,-999.0,-17.1,56.2,-999.0,244.2,-999.0,-999.0
2000,2,7,-18.8,-7.3,-2.0,-999.0,-15.5,53.9,-999.0,277.5,-999.0,-999.0
2000,2,8,-23.7,-14.6,-7.2,-999.0,-21.2,58.5,-999.0,211.7,-999.0,-999.0
2000,2,9,-10.5,-3.8,1.0,-999.0,-8.3,72.2,-999.0,198.8,-999.0,-999.0
2000,2,10,-17.7,-12.9,-9.6,-999.0,-21.5,49.9,-999.0,27.9,-999.0,-999.0
2000,2,11,-13.7,-8.2,-3.9,-999.0,-11.6,77.7,-999.0,212.1,-999.0,-999.0
2000,2,12,-24.0,-16.4,-10.2,-999.0,-22.2,61.8,-999.0,256.2,-999.0,-999.0
2000,2,13,-27.3,-15.1,-7.8,-999.0,-18.5,75.7,-999.0,100.8,-999.0,-999.0
2000,2,14,-8.3,-6.1,-4.6,-999.0,-7.9,86.9,-999.0,56.2,-999.0,-999.0
2000,2,15,-9.7,-5.7,-1.4,-999.0,-11.0,67.0,-999.0,254.2,-999.0,-999.0
2000,2,16,-9.0,-3.6,-0.1,-999.0,-5.9,84.9,-999.0,215.4,-999.0,-999.0
