Year,Month,Day,Tmin,Tair,Tmax,Prcp,Tdew,RelH,WndS,WndD,Pres
2000,1,1,-22.0,-14.1,-6.1,8.0,-13.7,91.1,-999.0,192.1,-999.0
2000,1,2,-13.0,-9.3,-5.5,14.0,-9.4,92.1,-999.0,120.0,-999.0
2000,1,3,-18.0,-9.1,-0.1,2.1,-11.4,89.1,-999.0,132.9,-999.0
2000,1,4,-16.0,-7.6,0.8,16.8,-6.5,94.2,-999.0,156.7,-999.0
2000,1,5,-22.1,-17.0,-11.9,0.0,-19.9,81.1,-999.0,132.9,-999.0
2000,1,6,-24.8,-17.3,-9.7,0.0,-19.4,83.1,-999.0,166.2,-999.0
2000,1,7,-12.1,-8.4,-4.6,4.0,-8.0,94.0,-999.0,158.3,-999.0
2000,1,8,-21.9,-16.0,-10.0,2.0,-18.0,82.8,-999.0,167.1,-999.0
2000,1,9,-16.4,-10.2,-4.0,3.0,-7.5,95.8,-999.0,172.9,-999.0
2000,1,10,-19.7,-11.9,-4.0,15.0,-10.4,93.1,-999.0,144.6,-999.0
2000,1,11,-8.2,-5.1,-2.0,7.0,-5.2,98.1,-999.0,173.3,-999.0
2000,1,12,-21.3,-14.8,-8.2,0.0,-16.2,83.8,-999.0,132.1,-999.0
2000,1,13,-27.8,-24.3,-20.8,0.0,-27.1,74.3,-999.0,44.6,-999.0
2000,1,14,-30.8,-27.3,-23.8,0.0,-31.5,66.6,-999.0,58.3,-999.0
2000,1,15,-35.9,-27.6,-19.3,0.0,-31.8,67.9,-999.0,105.4,-999.0
2000,1,16,-25.4,-18.6,-11.7,2.0,-19.6,79.8,-999.0,199.2,-999.0
2000,1,17,-30.7,-27.2,-23.6,0.0,-31.2,72.3,-999.0,69.6,-999.0
2000,1,18,-31.6,-23.0,-14.4,0.0,-28.1,76.6,-999.0,106.2,-999.0
2000,1,19,-34.7,-24.1,-13.4,0.0,-27.4,75.0,-999.0,70.0,-999.0
2000,1,20,-26.9,-19.4,-11.9,0.0,-22.4,80.2,-999.0,188.3,-999.0
2000,1,21,-28.1,-24.9,-21.6,0.0,-26.2,77.9,-999.0,70.4,-999.0
2000,1,22,-29.1,-25.7,-22.3,0.0,-30.2,69.4,-999.0,155.8,-999.0
2000,1,23,-33.7,-23.6,-13.5,2.0,-27.2,71.8,-999.0,161.2,-999.0
2000,1,24,-15.9,-12.7,-9.5,0.0,-14.5,87.8,-999.0,197.9,-999.0
2000,1,25,-22.1,-16.5,-10.8,2.0,-15.9,87.2,-999.0,132.5,-999.0
2000,1,26,-18.7,-15.0,-11.3,10.0,-14.4,90.5,-999.0,257.9,-999.0
2000,1,27,-24.5,-21.1,-17.6,0.0,-24.0,77.8,-999.0,115.8,-999.0
2000,1,28,-24.5,-19.6,-14.7,1.0,-22.6,79.6,-999.0,115.0,-999.0
2000,1,29,-23.8,-14.7,-5.5,0.0,-18.4,75.1,-999.0,167.9,-999.0
2000,1,30,-19.6,-10.0,-0.3,12.0,-10.7,83.5,-999.0,125.4,-999.0
2000,1,31,-19.3,-11.1,-2.9,1.0,-10.2,90.9,-999.0,118.3,-999.0
2000,2,1,-17.8,-12.8,-7.7,0.0,-12.3,84.3,-999.0,142.9,-999.0
2000,2,2,-20.8,-17.7,-14.6,0.0,-21.2,78.1,-999.0,103.3,-999.0
2000,2,3,-24.8,-17.3,-9.8,0.0,-20.5,79.7,-999.0,184.6,-999.0
2000,2,4,-28.5,-18.4,-8.2,1.0,-23.1,70.5,-999.0,126.2,-999.0
2000,2,5,-23.5,-17.7,-11.9,0.0,-19.6,78.7,-999.0,188.8,-999.0
2000,2,6,-22.3,-17.5,-12.7,0.0,-23.5,71.8,-999.0,152.1,-999.0
2000,2,7,-26.0,-18.4,-10.7,0.0,-19.9,79.4,-999.0,160.4,-999.0
2000,2,8,-30.4,-22.3,-14.2,0.0,-24.6,73.4,-999.0,184.2,-999.0
2000,2,9,-27.5,-17.5,-7.4,0.0,-16.1,79.9,-999.0,157.9,-999.0
2000,2,10,-36.3,-25.0,-13.7,0.0,-26.8,68.5,-999.0,132.5,-999.0
2000,2,11,-20.4,-14.2,-8.0,0.0,-16.0,84.4,-999.0,154.6,-999.0
2000,2,12,-28.7,-20.7,-12.6,0.0,-23.9,71.8,-999.0,170.0,-999.0
2000,2,13,-28.5,-19.3,-10.0,2.0,-19.0,83.2,-999.0,178.3,-999.0
2000,2,14,-14.1,-12.4,-10.6,0.0,-14.5,85.8,-999.0,89.2,-999.0
2000,2,15,-19.1,-13.6,-8.0,0.0,-16.1,81.2,-999.0,106.7,-999.0
2000,2,16,-20.3,-13.5,-6.6,0.0,-12.8,88.8,-999.0,160.0,-999.0
2000,2,17,-28.2,-24.3,-20.3,0.0,-28.1,68.9,-999.0,188.8,-999.0
2000,2,18,-27.4,-19.1,-10.7,0.0,-22.1,79.0,-999.0,191.2,-999.0
2000,2,19,-30.8,-17.7,-4.6,33.0,-23.1,73.0,-999.0,117.5,-999.0
2000,2,20,-28.7,-18.8,-8.8,6.0,-18.9,83.2,-999.0,176.7,-999.0
2000,2,21,-31.4,-22.1,-12.8,6.0,-23.9,69.5,-999.0,146.7,-999.0
2000,2,22,-33.7,-18.6,-3.4,6.0,-19.3,81.7,-999.0,145.8,-999.0
2000,2,23,-3.4,-0.9,1.7,41.0,-0.7,98.8,-999.0,194.2,-999.0
2000,2,24,-13.2,-5.1,3.1,31.0,-5.7,79.2,-999.0,171.7,-999.0
2000,2,25,-21.4,-9.8,1.8,0.0,-15.2,67.5,-999.0,168.8,-999.0
2000,2,26,-18.3,-8.6,1.2,0.0,-7.0,82.4,-999.0,187.5,-999.0
2000,2,27,1.2,3.8,6.3,3.0,3.7,99.8,-999.0,179.2,-999.0
2000,2,28,-7.5,-1.7,4.1,8.0,0.7,98.6,-999.0,154.6,-999.0
2000,2,29,-14.5,-8.6,-2.7,1.0,-7.8,95.7,-999.0,165.0,-999.0
2000,3,1,-14.4,-4.4,5.6,0.0,-8.7,72.8,-999.0,149.6,-999.0
2000,3,2,-3.3,-1.3,0.8,5.0,-2.1,92.9,-999.0,220.8,-999.0
2000,3,3,-6.4,-4.7,-3.0,1.0,-5.2,96.2,-999.0,69.6,-999.0
2000,3,4,-10.5,-6.8,-3.1,0.0,-6.2,96.6,-999.0,177.9,-999.0
2000,3,5,-11.0,-7.0,-2.9,1.0,-7.7,89.8,-999.0,74.2,-999.0
2000,3,6,-12.9,-8.0,-3.0,0.0,-9.3,85.1,-999.0,130.4,-999.0
2000,3,7,-13.2,-4.8,3.7,0.0,-9.6,61.9,-999.0,165.8,-999.0
2000,3,8,-15.0,-5.5,4.0,0.0,-12.2,59.9,-999.0,180.4,-999.0
2000,3,9,-16.7,-6.2,4.4,25.0,-3.1,93.5,-999.0,221.2,-999.0
2000,3,10,-21.7,-14.9,-8.1,0.0,-18.6,72.7,-999.0,240.8,-999.0
2000,3,11,-17.3,-11.9,-6.4,1.0,-13.1,82.4,-999.0,190.0,-999.0
2000,3,12,-14.0,-9.3,-4.6,8.0,-8.5,91.2,-999.0,272.1,-999.0
2000,3,13,-23.7,-15.5,-7.2,0.0,-20.0,66.5,-999.0,125.8,-999.0
2000,3,14,-26.4,-14.6,-2.7,7.0,-14.6,84.9,-999.0,169.6,-999.0
2000,3,15,-8.8,-4.7,-0.5,10.0,-5.8,88.9,-999.0,174.2,-999.0
2000,3,16,-22.2,-11.1,0.1,5.0,-11.9,85.2,-999.0,136.7,-999.0
2000,3,17,-26.5,-20.0,-13.5,0.0,-21.6,67.8,-999.0,242.9,-999.0
2000,3,18,-30.3,-16.3,-2.2,0.0,-21.1,64.1,-999.0,157.1,-999.0
2000,3,19,-24.4,-10.8,2.9,0.0,-17.7,55.6,-999.0,147.1,-999.0
2000,3,20,-4.5,0.9,6.2,0.0,-11.5,43.7,-999.0,143.3,-999.0
2000,3,21,-4.6,3.1,10.8,0.0,-14.0,32.0,-999.0,204.6,-999.0
2000,3,22,-5.7,2.0,9.6,0.0,-8.4,50.2,-999.0,172.5,-999.0
2000,3,23,-1.9,3.8,9.5,1.0,-3.0,65.9,-999.0,135.4,-999.0
2000,3,24,-9.4,-2.6,4.2,0.0,-6.2,70.8,-999.0,173.8,-999.0
2000,3,25,-11.0,-1.3,8.4,5.0,-6.2,73.8,-999.0,172.1,-999.0
2000,3,26,-2.7,0.1,2.9,7.0,0.4,96.1,-999.0,178.8,-999.0
2000,3,27,-3.7,1.1,5.8,0.0,-3.0,78.6,-999.0,181.2,-999.0
2000,3,28,-1.5,1.5,4.5,13.0,-0.3,88.0,-999.0,110.8,-999.0
2000,3,29,-1.2,1.6,4.4,2.0,-0.7,90.0,-999.0,169.2,-999.0
2000,3,30,-3.1,-0.6,2.0,3.0,-1.4,93.6,-999.0,197.9,-999.0
2000,3,31,-4.1,-0.6,3.0,0.0,-3.1,86.5,-999.0,123.8,-999.0
2000,4,1,-4.3,-0.4,3.6,0.0,-4.1,81.9,-999.0,159.6,-999.0
2000,4,2,-1.5,1.4,4.2,5.0,0.4,94.9,-999.0,167.9,-999.0
