Year,Month,Day,Prcp,Snow,SnDh
2005,2,1,0.0,0.0,79.0
2005,2,2,0.0,0.0,79.0
2005,2,3,0.0,0.0,79.0
2005,2,4,0.0,0.0,78.0
2005,2,5,0.0,0.0,78.0
2005,2,6,0.0,0.0,78.0
2005,2,7,0.8,0.4,78.0
2005,2,8,-999.0,-999.0,78.0
2005,2,9,0.0,0.0,76.0
2005,2,10,3.4,3.4,76.0
2005,2,11,0.6,0.6,82.0
2005,2,12,1.0,1.0,80.0
2005,2,13,0.0,0.0,82.0
2005,2,14,23.8,23.8,79.0
2005,2,15,13.2,13.2,97.0
2005,2,16,22.0,22.0,101.0
2005,2,17,0.0,0.0,116.0
2005,2,18,3.0,3.0,115.0
2005,2,19,0.8,0.8,119.0
2005,2,20,0.2,0.2,118.0
2005,2,21,8.4,8.4,117.0
2005,2,22,1.6,1.6,136.0
2005,2,23,3.2,3.2,132.0
2005,2,24,0.2,0.2,136.0
2005,2,25,0.8,0.8,130.0
2005,2,26,0.0,0.0,130.0
2005,2,27,0.0,0.0,124.0
2005,2,28,0.0,0.0,121.0
2005,3,1,7.6,7.6,117.0
2005,3,2,0.0,0.0,113.0
2005,3,3,0.0,0.0,112.0
2005,3,4,0.0,0.0,117.0
2005,3,5,0.8,0.8,110.0
2005,3,6,5.8,5.8,110.0
2005,3,7,24.0,24.0,117.0
2005,3,8,10.2,10.2,130.0
2005,3,9,-999.0,-999.0,139.0
2005,3,10,0.4,0.4,-999.0
2005,3,11,8.2,8.2,137.0
2005,3,12,10.6,10.6,142.0
2005,3,13,0.0,0.0,149.0
2005,3,14,2.4,2.4,145.0
2005,3,15,2.8,2.8,146.0
2005,3,16,1.4,1.4,141.0
2005,3,17,0.2,0.2,140.0
2005,3,18,4.4,4.4,136.0
2005,3,19,0.0,0.0,139.0
2005,3,20,0.0,0.0,135.0
2005,3,21,0.1,0.1,135.0
2005,3,22,0.6,0.6,134.0
2005,3,23,0.0,0.0,133.0
2005,3,24,1.2,1.2,132.0
2005,3,25,0.0,0.0,132.0
2005,3,26,0.0,0.0,132.0
2005,3,27,0.0,0.0,132.0
2005,3,28,0.4,0.4,129.0
2005,3,29,0.0,0.0,127.0
2005,3,30,0.0,0.0,124.0
2005,3,31,9.6,9.6,120.0
2005,4,1,10.2,10.2,126.0
2005,4,2,71.4,71.4,127.0
2005,4,3,26.8,26.8,127.0
2005,4,4,6.0,6.0,123.0
2005,4,5,0.0,0.0,122.0
2005,4,6,0.0,0.0,117.0
2005,4,7,23.3,23.3,112.0
2005,4,8,0.0,0.0,128.0
2005,4,9,0.0,0.0,121.0
2005,4,10,0.0,0.0,118.0
2005,4,11,0.0,0.0,116.0
2005,4,12,0.2,0.2,115.0
2005,4,13,1.6,1.6,115.0
2005,4,14,0.0,0.0,114.0
2005,4,15,0.0,0.0,113.0
2005,4,16,0.0,0.0,112.0
2005,4,17,0.0,0.0,109.0
2005,4,18,0.0,0.0,104.0
2005,4,19,2.4,1.2,100.0
2005,4,20,0.0,0.0,92.0
2005,4,21,-999.0,-999.0,90.0
2005,4,22,0.0,0.0,83.0
2005,4,23,-999.0,-999.0,83.0
2005,4,24,47.2,47.2,-999.0
2005,4,25,9.8,9.8,76.0
2005,4,26,0.0,0.0,75.0
2005,4,27,27.2,27.2,72.0
2005,4,28,16.0,16.0,68.0
2005,4,29,3.4,3.4,95.0
2005,4,30,-999.0,-999.0,89.0
2005,11,1,0.0,0.0,0.0
2005,11,2,0.1,0.1,0.0
2005,11,3,10.0,10.0,0.0
2005,11,4,20.6,20.6,6.0
2005,11,5,0.0,0.0,17.0
2005,11,6,32.8,32.8,17.0
2005,11,7,3.4,3.4,11.0
2005,11,8,0.2,0.2,12.0
2005,11,9,25.2,25.2,12.0
2005,11,10,0.2,0.2,23.0
2005,11,11,0.0,0.0,21.0
2005,11,12,0.0,0.0,21.0
2005,11,13,0.0,0.0,21.0
2005,11,14,0.1,0.1,18.0
2005,11,15,23.2,23.2,17.0
2005,11,16,35.6,17.8,25.0
2005,11,17,1.6,1.6,21.0
2005,11,18,0.4,0.4,22.0
2005,11,19,8.4,8.4,22.0
2005,11,20,0.1,0.1,26.0
2005,11,21,2.0,1.2,27.0
2005,11,22,16.4,12.4,26.0
2005,11,23,0.4,0.4,35.0
2005,11,24,22.8,22.8,36.0
2005,11,25,1.4,1.4,58.0
2005,11,26,1.0,1.0,54.0
2005,11,27,0.3,0.2,52.0
2005,11,28,3.6,1.8,51.0
2005,11,29,31.6,15.8,40.0
2005,11,30,6.8,3.4,26.0
2005,12,1,9.4,5.4,23.0
2005,12,2,11.0,11.0,25.0
2005,12,3,4.0,4.0,35.0
2005,12,4,0.4,0.4,41.0
2005,12,5,0.2,0.2,39.0
2005,12,6,0.2,0.2,37.0
2005,12,7,0.0,0.0,35.0
2005,12,8,-999.0,-999.0,34.0
2005,12,9,0.2,0.2,-999.0
2005,12,10,5.0,5.0,35.0
2005,12,11,0.8,0.8,39.0
2005,12,12,2.6,2.6,41.0
2005,12,13,0.0,0.0,48.0
2005,12,14,0.0,0.0,43.0
2005,12,15,0.0,0.0,43.0
2005,12,16,51.6,51.6,42.0
2005,12,17,1.0,1.0,76.0
2005,12,18,1.4,1.4,73.0
2005,12,19,4.6,4.6,73.0
2005,12,20,0.6,0.6,79.0
2005,12,21,1.0,1.0,75.0
2005,12,22,5.4,5.4,74.0
2005,12,23,5.2,5.2,74.0
2005,12,24,0.8,0.8,76.0
2005,12,25,36.0,36.0,74.0
2005,12,26,15.6,15.6,90.0
2005,12,27,0.0,0.0,89.0
2005,12,28,-999.0,-999.0,87.0
2005,12,29,8.8,8.6,-999.0
2005,12,30,5.0,5.0,93.0
2005,12,31,0.2,0.2,95.0
2006,1,1,1.0,1.0,92.0
2006,1,2,0.0,0.0,94.0
2006,1,3,0.0,0.0,93.0
2006,1,4,0.2,0.2,91.0
2006,1,5,7.6,7.6,89.0
2006,1,6,2.2,2.2,97.0
2006,1,7,0.2,0.2,98.0
2006,1,8,1.2,1.2,97.0
2006,1,9,-999.0,-999.0,95.0
2006,1,10,0.0,0.0,96.0
2006,1,11,13.6,6.8,96.0
2006,1,12,0.4,0.2,94.0
2006,1,13,0.0,0.0,91.0
2006,1,14,121.0,61.0,88.0
2006,1,15,0.0,0.0,80.0
2006,1,16,-999.0,-999.0,80.0
2006,1,17,11.6,11.6,-999.0
2006,1,18,124.6,75.2,82.0
2006,1,19,1.2,1.2,90.0
2006,1,20,6.2,6.2,91.0
2006,1,21,22.4,22.4,94.0
2006,1,22,1.0,0.6,112.0
2006,1,23,0.4,0.4,112.0
2006,1,24,4.8,4.8,112.0
2006,1,25,3.0,3.0,115.0
2006,1,26,0.0,0.0,114.0
2006,1,27,0.0,0.0,113.0
2006,1,28,0.0,0.0,112.0
2006,1,29,0.0,0.0,111.0
2006,1,30,10.6,10.6,111.0
2006,1,31,2.4,2.4,115.0
2006,2,1,0.0,0.0,115.0
2006,2,2,0.0,0.0,114.0
2006,2,3,38.8,38.8,113.0
2006,2,4,12.0,12.0,136.0
2006,2,5,18.0,18.0,139.0
2006,2,6,1.8,1.8,146.0
2006,2,7,0.2,0.2,145.0
2006,2,8,0.0,0.0,143.0
2006,2,9,0.0,0.0,143.0
2006,2,10,0.0,0.0,142.0
2006,2,11,0.0,0.0,142.0
2006,2,12,0.0,0.0,142.0
2006,2,13,3.8,3.8,141.0
2006,2,14,2.8,2.8,146.0
2006,2,15,7.2,7.2,148.0
2006,2,16,26.0,26.0,152.0
2006,2,17,25.2,25.2,162.0
2006,2,18,0.0,0.0,168.0
2006,2,19,2.0,2.0,167.0
2006,2,20,1.8,1.8,162.0
2006,2,21,3.2,3.2,168.0
2006,2,22,2.4,2.4,170.0
2006,2,23,2.6,2.6,172.0
2006,2,24,6.0,6.0,173.0
2006,2,25,0.0,0.0,171.0
2006,2,26,0.0,0.0,168.0
2006,2,27,1.6,1.6,168.0
2006,2,28,0.6,0.6,167.0
2006,3,1,2.0,2.0,167.0
2006,3,2,0.6,0.6,168.0
2006,3,3,0.8,0.8,168.0
2006,3,4,0.0,0.0,168.0
2006,3,5,0.0,0.0,167.0
2006,3,6,0.4,0.4,163.0
2006,3,7,3.4,3.4,162.0
2006,3,8,0.0,0.0,163.0
2006,3,9,13.8,10.0,162.0
2006,3,10,5.2,0.0,168.0
2006,3,11,0.0,0.0,165.0
2006,3,12,3.6,1.0,163.0
2006,3,13,16.4,0.0,162.0
2006,3,14,6.8,1.8,161.0
2006,3,15,0.2,0.2,161.0
2006,3,16,0.0,0.0,161.0
2006,3,17,0.0,0.0,160.0
2006,3,18,0.2,0.2,160.0
2006,3,19,4.4,4.4,160.0
2006,3,20,0.0,0.0,169.0
2006,3,21,0.0,0.0,162.0
2006,3,22,1.2,1.2,161.0
2006,3,23,2.2,2.2,162.0
2006,3,24,0.0,0.0,162.0
2006,3,25,1.0,1.0,162.0
2006,3,26,0.0,0.0,163.0
2006,3,27,0.0,0.0,161.0
2006,3,28,0.0,0.0,160.0
2006,3,29,0.0,0.0,159.0
2006,3,30,0.0,0.0,156.0
2006,3,31,0.6,0.0,152.0
2006,4,1,4.8,0.0,142.0
2006,4,2,0.0,0.0,136.0
2006,4,3,9.2,9.2,133.0
2006,4,4,23.2,23.2,135.0
2006,4,5,1.8,1.8,143.0
2006,4,6,0.0,0.0,146.0
2006,4,7,2.2,1.2,143.0
2006,4,8,0.0,0.0,141.0
2006,4,9,0.0,0.0,139.0
2006,4,10,0.0,0.0,136.0
2006,4,11,0.0,0.0,133.0
2006,4,12,0.0,0.0,128.0
2006,4,13,8.4,0.0,122.0
2006,4,14,0.0,0.0,118.0
2006,4,15,3.2,3.2,111.0
2006,4,16,0.8,0.4,113.0
2006,4,17,0.0,0.0,111.0
2006,4,18,0.0,0.0,105.0
2006,4,19,0.0,0.0,99.0
2006,4,20,0.0,0.0,90.0
2006,4,21,0.0,0.0,84.0
2006,4,22,0.0,0.0,82.0
2006,4,23,6.8,0.0,77.0
2006,4,24,4.8,0.0,72.0
2006,4,25,2.6,0.2,70.0
2006,4,26,3.8,3.2,68.0
2006,4,27,0.0,0.0,72.0
2006,4,28,0.0,0.0,69.0
2006,4,29,0.0,0.0,67.0
2006,4,30,-999.0,-999.0,62.0
2006,11,1,0.0,0.0,20.0
2006,11,2,-999.0,-999.0,20.0
2006,11,3,0.0,0.0,19.0
2006,11,4,0.0,0.0,19.0
2006,11,5,0.0,0.0,19.0
2006,11,6,5.0,5.0,19.0
2006,11,7,-999.0,-999.0,25.0
2006,11,8,11.0,0.0,15.0
2006,11,9,-999.0,-999.0,15.0
2006,11,10,0.1,0.1,-999.0
2006,11,11,-999.0,-999.0,9.0
2006,11,12,5.4,0.0,11.0
2006,11,13,-999.0,-999.0,11.0
2006,11,14,28.6,0.0,3.0
2006,11,15,-999.0,-999.0,3.0
2006,11,16,11.4,0.0,0.0
2006,11,17,3.6,0.2,0.0
2006,11,18,0.0,0.0,0.0
2006,11,19,3.8,3.8,0.0
2006,11,20,0.0,0.0,6.0
2006,11,21,0.0,0.0,5.0
2006,11,22,0.0,0.0,4.0
2006,11,23,0.0,0.0,4.0
2006,11,24,0.0,0.0,3.0
2006,11,25,0.0,0.0,3.0
2006,11,26,0.0,0.0,3.0
2006,11,27,1.6,1.6,1.0
2006,11,28,5.2,5.2,2.0
2006,11,29,9.8,0.0,4.0
2006,11,30,17.6,0.0,0.0
2006,12,1,27.0,25.0,0.0
2006,12,2,5.6,5.6,11.0
2006,12,3,2.4,2.4,14.0
2006,12,4,0.0,0.0,16.0
2006,12,5,1.4,1.4,16.0
2006,12,6,12.8,12.8,17.0
2006,12,7,3.6,3.6,24.0
2006,12,8,0.8,0.8,24.0
2006,12,9,1.2,1.2,27.0
2006,12,10,0.0,0.0,25.0
2006,12,11,0.0,0.0,24.0
2006,12,12,0.0,0.0,22.0
2006,12,13,0.4,0.4,21.0
2006,12,14,1.2,0.0,20.0
2006,12,15,3.6,0.0,20.0
2006,12,16,0.0,0.0,18.0
2006,12,17,-999.0,-999.0,18.0
2006,12,18,0.2,0.2,-999.0
2006,12,19,0.0,0.0,17.0
2006,12,20,0.0,0.0,17.0
2006,12,21,0.2,0.2,17.0
2006,12,22,5.0,4.0,17.0
2006,12,23,15.2,8.0,19.0
2006,12,24,0.4,0.4,24.0
2006,12,25,4.0,4.0,24.0
2006,12,26,17.2,17.2,30.0
2006,12,27,0.0,0.0,41.0
2006,12,28,0.0,0.0,39.0
2006,12,29,0.0,0.0,39.0
2006,12,30,0.2,0.2,37.0
2006,12,31,5.2,5.2,35.0
2007,1,1,3.4,0.2,37.0
2007,1,2,0.0,0.0,36.0
2007,1,3,-999.0,-999.0,36.0
2007,1,5,4.4,0.0,31.0
2007,1,6,14.0,0.2,31.0
2007,1,7,14.4,14.4,27.0
