Year,Month,Day,Tmin,Tair,Tmax,Prcp,Tdew,RelH,WndS,WndD,Pres,Snow,SnDh
2000,1,1,-11.8,-8.4,-5.0,0.0,-11.4,81.4,-999.0,143.3,-999.0,0.0,12.0
2000,1,2,-6.3,-3.3,-0.3,3.7,-4.2,91.2,-999.0,51.2,-999.0,-999.0,12.0
2000,1,3,-7.8,-3.8,0.3,2.0,-5.6,87.3,-999.0,128.3,-999.0,4.0,10.0
2000,1,4,-7.0,-0.4,6.2,15.6,-1.9,90.6,-999.0,112.5,-999.0,0.0,12.0
2000,1,5,-11.9,-9.4,-6.8,0.0,-15.4,61.5,-999.0,296.7,-999.0,0.0,2.0
2000,1,6,-14.3,-7.5,-0.8,0.0,-13.0,77.5,-999.0,107.9,-999.0,0.0,2.0
2000,1,7,-4.0,-1.6,0.7,2.0,-4.0,86.0,-999.0,214.6,-999.0,4.0,2.0
2000,1,8,-10.8,-7.1,-3.4,1.0,-11.7,72.9,-999.0,165.8,-999.0,2.0,2.0
2000,1,9,-6.0,-2.6,0.7,0.0,-4.2,91.0,-999.0,138.3,-999.0,0.0,2.0
2000,1,10,-2.0,1.1,4.3,19.5,-1.3,90.9,-999.0,55.0,-999.0,24.0,2.0
2000,1,11,-1.0,1.6,4.2,5.0,0.4,88.6,-999.0,192.9,-999.0,0.0,20.0
2000,1,12,-9.8,-6.4,-3.0,0.0,-11.2,66.6,-999.0,285.4,-999.0,0.0,2.0
2000,1,13,-18.8,-16.1,-13.2,0.0,-21.6,59.5,-999.0,317.1,-999.0,0.0,3.0
2000,1,14,-22.1,-19.4,-16.9,0.0,-25.9,55.2,-999.0,292.9,-999.0,0.0,3.0
2000,1,15,-27.9,-19.6,-11.3,8.0,-27.2,60.2,-999.0,179.6,-999.0,16.0,3.0
2000,1,16,-21.4,-13.3,-5.2,12.4,-14.5,79.5,-999.0,192.1,-999.0,-999.0,15.0
2000,1,17,-24.2,-20.1,-15.9,0.0,-26.8,56.9,-999.0,324.6,-999.0,0.0,15.0
2000,1,18,-26.6,-23.0,-19.4,0.0,-27.2,66.8,-999.0,246.7,-999.0,0.0,18.0
2000,1,19,-30.6,-23.7,-16.8,1.0,-25.8,75.7,-999.0,180.8,-999.0,2.0,18.0
2000,1,20,-23.6,-18.1,-12.5,0.0,-18.7,79.2,-999.0,83.3,-999.0,0.0,15.0
2000,1,21,-19.7,-17.1,-14.4,0.0,-22.4,63.3,-999.0,292.5,-999.0,0.0,15.0
2000,1,22,-22.4,-20.1,-17.7,0.0,-26.2,56.9,-999.0,270.4,-999.0,0.0,15.0
2000,1,23,-29.6,-20.8,-11.8,1.0,-25.1,67.5,-999.0,95.0,-999.0,2.0,15.0
2000,1,24,-20.0,-12.9,-5.8,2.0,-13.4,83.9,-999.0,121.7,-999.0,4.0,15.0
2000,1,25,-21.1,-13.6,-5.9,1.0,-13.1,86.7,-999.0,52.5,-999.0,2.0,15.0
2000,1,26,-11.2,-8.4,-5.6,4.1,-9.5,81.7,-999.0,297.9,-999.0,6.0,15.0
2000,1,27,-17.1,-15.7,-14.2,2.2,-18.7,73.5,-999.0,285.0,-999.0,-999.0,18.0
2000,1,28,-20.3,-17.5,-14.7,5.2,-21.0,70.5,-999.0,268.8,-999.0,8.0,18.0
2000,1,29,-24.9,-18.1,-11.2,0.0,-20.4,71.6,-999.0,201.2,-999.0,0.0,31.0
2000,1,30,-20.9,-12.8,-4.8,4.1,-16.8,78.8,-999.0,147.1,-999.0,7.0,31.0
2000,1,31,-12.7,-6.9,-1.1,1.9,-5.5,91.7,-999.0,129.2,-999.0,0.0,32.0
2000,2,1,-10.9,-6.1,-1.2,1.8,-7.6,82.8,-999.0,267.5,-999.0,0.0,34.0
2000,2,2,-18.1,-15.0,-11.8,0.0,-18.3,72.1,-999.0,274.6,-999.0,0.0,35.0
2000,2,3,-24.8,-17.8,-10.7,1.2,-20.4,78.7,-999.0,191.2,-999.0,0.0,35.0
2000,2,4,-28.9,-20.2,-11.6,1.1,-23.9,75.0,-999.0,139.2,-999.0,0.0,35.0
2000,2,5,-24.7,-16.4,-8.0,0.0,-17.1,80.0,-999.0,224.2,-999.0,0.0,35.0
2000,2,6,-20.6,-12.4,-4.2,0.6,-16.9,64.1,-999.0,243.3,-999.0,0.0,38.0
2000,2,7,-13.6,-9.4,-5.2,0.0,-14.8,61.0,-999.0,281.7,-999.0,0.0,35.0
2000,2,8,-24.6,-15.6,-6.5,0.0,-20.1,62.6,-999.0,221.2,-999.0,0.0,35.0
2000,2,9,-11.3,-6.0,-0.6,0.6,-9.3,71.5,-999.0,230.4,-999.0,0.0,35.0
2000,2,10,-22.0,-15.2,-8.4,5.5,-20.1,57.4,-999.0,104.2,-999.0,9.0,45.0
2000,2,11,-14.3,-9.3,-4.3,2.6,-10.7,79.4,-999.0,199.2,-999.0,0.0,38.0
2000,2,12,-23.2,-17.8,-12.3,0.0,-20.8,62.2,-999.0,237.1,-999.0,0.0,40.0
2000,2,13,-21.4,-14.1,-6.8,4.8,-17.3,78.3,-999.0,117.1,-999.0,8.0,55.0
2000,2,14,-8.9,-6.5,-4.2,7.7,-7.4,91.6,-999.0,86.7,-999.0,8.0,65.0
2000,2,15,-10.1,-6.5,-2.9,6.8,-10.3,76.2,-999.0,234.2,-999.0,4.0,70.0
2000,2,16,-13.4,-7.4,-1.4,8.4,-6.7,88.2,-999.0,205.0,-999.0,5.0,72.0
2000,2,17,-24.4,-18.1,-11.9,1.2,-23.2,55.7,-999.0,255.0,-999.0,0.0,80.0
2000,2,18,-25.0,-16.9,-8.9,4.8,-21.5,61.7,-999.0,125.7,-999.0,0.0,80.0
2000,2,19,-17.1,-10.1,-3.1,0.0,-16.5,65.4,-999.0,65.0,-999.0,0.0,80.0
2000,2,20,-19.6,-11.2,-2.9,1.0,-13.3,78.3,-999.0,191.2,-999.0,2.0,78.0
2000,2,21,-21.8,-13.6,-5.4,0.0,-15.5,73.6,-999.0,103.8,-999.0,0.0,78.0
2000,2,22,-12.9,-6.5,0.1,0.0,-10.4,74.0,-999.0,33.3,-999.0,0.0,78.0
2000,2,23,-3.9,-0.2,3.4,0.0,-1.6,78.3,-999.0,195.8,-999.0,-999.0,70.0
2000,2,24,-7.3,-1.4,4.5,0.0,-1.5,90.6,-999.0,158.3,-999.0,0.0,70.0
2000,2,25,-3.5,-1.7,0.1,0.0,-7.1,65.1,-999.0,33.8,-999.0,0.0,70.0
2000,2,26,-3.9,1.3,6.5,0.0,-3.0,73.6,-999.0,47.1,-999.0,0.0,70.0
2000,2,27,-1.3,4.1,9.5,1.4,2.8,91.2,-999.0,136.2,-999.0,0.0,65.0
2000,2,28,0.7,2.6,4.5,1.9,1.4,88.7,-999.0,229.6,-999.0,0.0,60.0
2000,2,29,-3.2,1.2,5.8,0.0,-5.3,68.7,-999.0,285.8,-999.0,0.0,60.0
2000,3,1,-7.5,-2.2,3.1,2.4,-3.3,83.9,-999.0,42.5,-999.0,0.0,55.0
2000,3,2,0.3,1.7,3.0,1.6,1.0,93.2,-999.0,179.2,-999.0,0.0,50.0
2000,3,3,-1.0,0.3,1.6,0.5,-2.8,79.6,-999.0,306.7,-999.0,0.0,50.0
2000,3,4,-2.4,-0.1,2.1,0.0,-4.4,73.8,-999.0,238.3,-999.0,0.0,50.0
2000,3,5,-1.6,1.9,5.4,0.0,-3.1,73.9,-999.0,224.2,-999.0,0.0,45.0
2000,3,6,-3.5,-0.3,2.8,0.0,-6.9,63.3,-999.0,260.4,-999.0,0.0,40.0
2000,3,7,-3.6,0.7,5.0,0.0,-1.0,83.1,-999.0,172.5,-999.0,0.0,40.0
2000,3,8,-3.8,0.2,4.2,0.0,-3.0,77.1,-999.0,37.1,-999.0,0.0,35.0
2000,3,9,-4.2,3.6,11.4,5.3,-1.0,83.1,-999.0,249.6,-999.0,2.0,35.0
