Year,Month,Day,Tmin,Tair,Tmax,Prcp,Tdew,RelH,WndS,WndD,Pres,Snow,SnDh
2000,1,1,-13.3,-5.6,2.1,1.0,-8.7,74.6,4.8,126.2,-999.0,-999.0,-999.0
2000,1,2,-4.9,1.0,6.8,3.0,-2.0,85.6,6.3,73.8,-999.0,-999.0,-999.0
2000,1,3,-4.7,2.2,9.0,2.0,-3.2,77.1,12.5,201.7,-999.0,-999.0,-999.0
2000,1,4,-3.6,2.8,9.2,9.5,-0.4,83.7,15.4,150.4,-999.0,-999.0,-999.0
2000,1,5,-14.7,-7.8,-0.8,0.0,-14.4,66.7,23.1,276.2,-999.0,-999.0,-999.0
2000,1,6,-14.6,-7.6,-0.6,0.0,-15.0,58.9,10.2,150.8,-999.0,-999.0,-999.0
2000,1,7,-6.8,-3.3,0.2,3.0,-4.6,77.8,13.9,218.8,-999.0,-999.0,-999.0
2000,1,8,-12.4,-6.9,-1.3,0.0,-12.2,72.0,10.3,207.1,-999.0,-999.0,-999.0
2000,1,9,-1.7,0.1,1.8,0.5,-4.4,70.3,7.2,189.6,-999.0,-999.0,-999.0
2000,1,10,-3.2,0.1,3.4,9.0,-2.5,78.6,16.8,94.6,-999.0,-999.0,-999.0
2000,1,11,-0.4,2.4,5.2,13.0,-0.1,85.3,14.2,206.7,-999.0,-999.0,-999.0
2000,1,12,-12.8,-6.6,-0.4,1.0,-9.6,74.9,27.6,273.3,-999.0,-999.0,-999.0
2000,1,13,-20.4,-16.6,-12.8,0.0,-21.2,66.2,14.5,282.9,-999.0,-999.0,-999.0
2000,1,14,-22.7,-20.8,-18.8,0.0,-27.5,53.3,25.6,286.7,-999.0,-999.0,-999.0
2000,1,15,-25.0,-20.3,-15.5,0.0,-28.4,52.7,11.2,204.2,-999.0,-999.0,-999.0
2000,1,16,-20.5,-12.4,-4.3,12.5,-14.2,75.0,18.3,196.2,-999.0,-999.0,-999.0
2000,1,17,-26.1,-23.3,-20.5,0.0,-29.1,60.5,18.1,265.8,-999.0,-999.0,-999.0
2000,1,18,-31.8,-25.7,-19.6,0.0,-30.8,61.5,5.3,165.0,-999.0,-999.0,-999.0
2000,1,19,-32.3,-23.9,-15.5,0.0,-29.9,61.3,3.4,99.2,-999.0,-999.0,-999.0
2000,1,20,-25.2,-18.2,-11.2,0.0,-21.8,70.5,6.0,57.1,-999.0,-999.0,-999.0
2000,1,21,-22.3,-18.0,-13.6,3.5,-21.9,71.0,23.5,260.8,-999.0,-999.0,-999.0
2000,1,22,-24.9,-23.1,-21.2,0.5,-29.2,56.6,27.9,262.9,-999.0,-999.0,-999.0
2000,1,23,-30.1,-20.0,-9.8,0.0,-27.3,53.8,6.5,85.4,-999.0,-999.0,-999.0
2000,1,24,-18.4,-11.1,-3.8,0.5,-13.2,72.8,7.2,144.6,-999.0,-999.0,-999.0
2000,1,25,-17.7,-12.4,-7.1,3.0,-14.9,79.0,14.2,52.1,-999.0,-999.0,-999.0
2000,1,26,-14.0,-10.2,-6.3,10.0,-10.7,80.5,16.0,245.0,-999.0,-999.0,-999.0
2000,1,27,-18.7,-16.2,-13.7,1.5,-21.0,70.1,16.3,269.2,-999.0,-999.0,-999.0
2000,1,28,-21.0,-18.9,-16.7,2.0,-24.6,61.1,18.7,260.8,-999.0,-999.0,-999.0
2000,1,29,-23.3,-16.2,-9.0,0.0,-22.7,59.3,7.1,186.7,-999.0,-999.0,-999.0
2000,1,30,-24.2,-11.6,1.1,0.0,-19.0,62.1,3.7,73.8,-999.0,-999.0,-999.0
2000,1,31,-8.1,-4.4,-0.6,16.0,-6.2,84.0,12.9,156.7,-999.0,-999.0,-999.0
2000,2,1,-13.2,-7.9,-2.6,2.0,-7.8,80.1,18.6,250.8,-999.0,-999.0,-999.0
2000,2,2,-18.3,-15.7,-13.0,1.0,-19.9,69.2,19.6,270.4,-999.0,-999.0,-999.0
2000,2,3,-25.7,-18.1,-10.4,0.0,-22.4,62.6,6.1,205.0,-999.0,-999.0,-999.0
2000,2,4,-30.8,-19.0,-7.1,0.0,-26.6,59.4,4.5,125.8,-999.0,-999.0,-999.0
2000,2,5,-30.3,-18.7,-7.0,4.0,-20.8,69.5,6.9,152.9,-999.0,-999.0,-999.0
2000,2,6,-19.1,-14.6,-10.1,1.0,-18.9,60.2,22.0,243.3,-999.0,-999.0,-999.0
2000,2,7,-21.2,-12.6,-4.0,4.0,-16.4,60.8,16.5,260.4,-999.0,-999.0,-999.0
2000,2,8,-30.5,-19.1,-7.6,0.0,-26.0,49.9,8.7,189.6,-999.0,-999.0,-999.0
2000,2,9,-9.6,-5.3,-1.0,3.5,-12.2,57.9,13.8,220.0,-999.0,-999.0,-999.0
2000,2,10,-22.3,-14.1,-5.9,0.5,-17.9,59.0,6.8,107.9,-999.0,-999.0,-999.0
2000,2,11,-14.9,-7.1,0.7,8.5,-7.8,82.4,12.5,201.7,-999.0,-999.0,-999.0
2000,2,12,-27.0,-19.0,-11.0,0.0,-22.3,63.2,8.3,209.2,-999.0,-999.0,-999.0
2000,2,13,-28.6,-16.5,-4.4,2.5,-20.0,64.5,5.2,90.8,-999.0,-999.0,-999.0
2000,2,14,-6.8,-5.2,-3.6,26.0,-7.8,82.7,16.1,56.2,-999.0,-999.0,-999.0
2000,2,15,-19.1,-11.8,-4.5,2.0,-11.8,78.0,11.3,251.2,-999.0,-999.0,-999.0
2000,2,16,-14.2,-7.7,-1.1,6.0,-9.2,75.8,12.5,182.9,-999.0,-999.0,-999.0
2000,2,17,-31.1,-21.1,-11.1,0.0,-25.4,54.3,16.8,252.5,-999.0,-999.0,-999.0
2000,2,18,-30.7,-18.6,-6.5,1.5,-22.9,61.3,3.8,61.2,-999.0,-999.0,-999.0
2000,2,19,-20.1,-9.7,0.8,1.0,-12.5,72.2,7.3,116.7,-999.0,-999.0,-999.0
2000,2,20,-22.0,-12.2,-2.4,1.5,-14.5,74.8,13.9,173.3,-999.0,-999.0,-999.0
2000,2,21,-20.2,-12.2,-4.2,0.0,-15.4,70.7,7.2,166.7,-999.0,-999.0,-999.0
2000,2,22,-12.5,-3.7,5.1,0.0,-9.4,66.0,8.2,128.8,-999.0,-999.0,-999.0
2000,2,23,3.4,5.6,7.8,0.5,-3.5,51.2,13.5,199.2,-999.0,-999.0,-999.0
2000,2,24,1.4,4.6,7.8,0.0,1.0,78.7,5.7,196.2,-999.0,-999.0,-999.0
2000,2,25,-1.7,2.3,6.3,0.0,-6.3,56.7,13.2,97.1,-999.0,-999.0,-999.0
2000,2,26,-1.2,2.9,6.9,0.0,-4.2,59.5,10.0,152.9,-999.0,-999.0,-999.0
2000,2,27,2.7,9.1,15.5,0.5,4.5,70.6,13.0,177.1,-999.0,-999.0,-999.0
2000,2,28,-1.4,2.8,6.9,9.5,1.5,88.3,12.7,239.6,-999.0,-999.0,-999.0
2000,2,29,-7.3,-3.3,0.8,0.0,-7.4,70.1,13.7,270.4,-999.0,-999.0,-999.0
2000,3,1,-9.5,-0.4,8.8,0.0,-6.5,64.3,7.1,89.6,-999.0,-999.0,-999.0
2000,3,2,-0.6,1.2,3.0,3.5,-0.9,84.2,7.8,216.2,-999.0,-999.0,-999.0
2000,3,3,-3.2,-1.6,0.1,3.5,-4.2,83.6,18.0,284.2,-999.0,-999.0,-999.0
2000,3,4,-3.6,-1.8,0.1,0.5,-7.3,67.5,14.4,251.7,-999.0,-999.0,-999.0
2000,3,5,-3.0,-0.3,2.5,0.0,-5.2,67.8,9.1,232.1,-999.0,-999.0,-999.0
2000,3,6,-6.2,-2.7,0.9,0.0,-10.1,55.7,14.6,256.2,-999.0,-999.0,-999.0
2000,3,7,-8.8,-1.0,6.8,0.0,-5.9,67.4,8.0,173.8,-999.0,-999.0,-999.0
2000,3,8,-3.9,4.3,12.4,0.0,-3.3,65.2,6.8,96.2,-999.0,-999.0,-999.0
2000,3,9,-4.8,6.1,16.9,6.0,2.0,70.1,8.6,220.4,-999.0,-999.0,-999.0
2000,3,10,-11.2,-6.9,-2.6,0.5,-13.4,58.7,13.8,175.8,-999.0,-999.0,-999.0
2000,3,11,-5.5,-3.1,-0.7,3.5,-9.0,62.9,16.0,118.8,-999.0,-999.0,-999.0
2000,3,12,-7.0,-3.2,0.6,14.5,-4.7,82.4,10.7,150.0,-999.0,-999.0,-999.0
2000,3,13,-20.3,-13.5,-6.6,0.0,-17.9,56.0,14.4,251.2,-999.0,-999.0,-999.0
2000,3,14,-20.6,-8.8,3.0,2.0,-11.3,68.2,9.8,139.2,-999.0,-999.0,-999.0
2000,3,15,0.1,2.9,5.7,11.0,0.9,86.0,9.2,187.9,-999.0,-999.0,-999.0
2000,3,16,-5.1,0.2,5.4,8.0,-2.3,82.3,11.2,258.3,-999.0,-999.0,-999.0
2000,3,17,-16.0,-10.0,-3.9,2.5,-13.8,61.2,19.4,180.8,-999.0,-999.0,-999.0
2000,3,18,-19.8,-10.9,-1.9,0.0,-19.8,48.3,4.1,55.8,-999.0,-999.0,-999.0
2000,3,19,-12.6,-2.4,7.8,0.0,-13.3,46.5,10.3,91.2,-999.0,-999.0,-999.0
2000,3,20,-5.6,2.9,11.4,0.0,-9.6,44.8,7.8,67.1,-999.0,-999.0,-999.0
2000,3,21,-4.8,4.9,14.6,0.0,-9.3,41.2,10.2,99.6,-999.0,-999.0,-999.0
2000,3,22,-3.8,5.0,13.8,0.0,-4.0,58.2,5.2,135.8,-999.0,-999.0,-999.0
2000,3,23,-3.5,4.7,12.8,0.0,-0.3,69.3,8.8,181.7,-999.0,-999.0,-999.0
2000,3,24,-4.5,2.9,10.2,0.0,-3.0,67.6,8.3,207.1,-999.0,-999.0,-999.0
2000,3,25,-4.6,4.7,13.9,0.5,-0.8,75.0,8.3,104.6,-999.0,-999.0,-999.0
2000,3,26,-0.7,4.9,10.4,0.5,1.2,76.5,14.4,223.3,-999.0,-999.0,-999.0
2000,3,27,-2.4,5.0,12.4,0.0,-2.9,57.7,9.3,168.8,-999.0,-999.0,-999.0
2000,3,28,3.0,7.3,11.5,7.0,3.6,75.8,17.8,102.9,-999.0,-999.0,-999.0
2000,3,29,0.1,4.7,9.2,2.0,0.1,78.4,15.2,182.1,-999.0,-999.0,-999.0
2000,3,30,0.1,2.2,4.3,0.5,-0.3,87.5,13.8,233.8,-999.0,-999.0,-999.0
2000,3,31,-0.2,2.4,4.9,1.0,-0.7,83.5,10.0,244.2,-999.0,-999.0,-999.0
2000,4,1,-0.4,5.7,11.8,0.0,-2.0,62.0,12.3,222.1,-999.0,-999.0,-999.0
2000,4,2,-0.1,5.5,11.0,6.0,2.7,82.6,5.4,141.7,-999.0,-999.0,-999.0
2000,4,3,-1.4,3.5,8.3,0.5,3.1,95.0,7.2,128.8,-999.0,-999.0,-999.0
2000,4,4,4.9,8.7,12.5,18.0,6.8,94.6,10.9,171.2,-999.0,-999.0,-999.0
2000,4,5,-2.6,1.3,5.2,2.0,-2.8,80.0,25.0,248.3,-999.0,-999.0,-999.0
2000,4,6,-1.8,1.8,5.4,2.0,-2.1,81.0,9.7,170.8,-999.0,-999.0,-999.0
2000,4,7,0.6,3.2,5.8,1.0,0.6,86.5,11.5,222.5,-999.0,-999.0,-999.0
2000,4,8,0.7,8.4,16.0,10.5,4.2,85.3,13.2,142.9,-999.0,-999.0,-999.0
2000,4,9,-3.6,-1.4,0.8,24.0,-1.8,94.7,11.2,230.4,-999.0,-999.0,-999.0
2000,4,10,-3.6,-0.8,2.0,2.5,-5.4,75.2,23.0,244.6,-999.0,-999.0,-999.0
