Year,Month,Day,Tmin,Tair,Tmax,Prcp,Snow,SnDh
2000,1,1,-13.0,-7.5,-2.0,0.5,0.5,6.0
2000,1,2,-6.5,-1.5,3.5,6.8,1.0,7.0
2000,1,3,-6.0,-4.0,-2.0,7.0,5.0,7.0
2000,1,4,-6.0,0.0,6.0,12.6,0.0,5.0
2000,1,5,-12.0,-9.8,-7.5,0.0,0.0,5.0
2000,1,6,-15.0,-9.5,-4.0,0.0,0.0,5.0
2000,1,7,-7.5,-3.3,1.0,0.0,0.0,5.0
2000,1,8,-9.5,-6.8,-4.0,0.0,0.0,5.0
2000,1,9,-7.5,-2.0,3.5,0.0,0.0,5.0
2000,1,10,-1.5,1.3,4.0,16.0,15.0,4.0
2000,1,11,-1.0,2.0,5.0,0.0,0.0,15.0
2000,1,12,-7.0,-3.5,0.0,0.0,0.0,12.0
2000,1,13,-17.0,-14.0,-11.0,0.0,0.0,12.0
2000,1,14,-21.0,-18.5,-16.0,0.0,0.0,12.0
2000,1,15,-24.0,-15.5,-7.0,11.0,11.0,12.0
2000,1,16,-20.0,-11.8,-3.5,6.0,6.0,20.0
2000,1,17,-24.5,-20.5,-16.5,0.0,0.0,20.0
2000,1,18,-26.0,-21.5,-17.0,0.0,0.0,15.0
2000,1,19,-28.0,-21.0,-14.0,0.0,0.0,15.0
2000,1,20,-21.0,-15.5,-10.0,1.3,1.3,15.0
2000,1,21,-18.5,-15.5,-12.5,0.0,0.0,15.0
2000,1,22,-22.5,-19.3,-16.0,0.0,0.0,15.0
2000,1,23,-27.5,-19.0,-10.5,6.0,6.0,15.0
2000,1,24,-18.0,-11.0,-4.0,0.5,0.5,15.0
2000,1,25,-18.0,-11.8,-5.5,12.0,12.0,15.0
2000,1,26,-8.5,-7.0,-5.5,6.8,6.8,15.0
2000,1,27,-17.5,-14.5,-11.5,0.0,0.0,15.0
2000,1,28,-19.0,-15.5,-12.0,3.0,3.0,15.0
2000,1,29,-23.5,-16.0,-8.5,0.0,0.0,17.0
2000,1,30,-19.0,-11.3,-3.5,3.0,3.0,17.0
2000,1,31,-12.0,-6.3,-0.5,3.0,3.0,17.0
2000,2,1,-7.0,-3.8,-0.5,0.0,0.0,17.0
2000,2,2,-16.0,-12.8,-9.5,0.0,0.0,17.0
2000,2,3,-21.0,-15.0,-9.0,0.0,0.0,17.0
2000,2,4,-25.0,-17.5,-10.0,0.0,0.0,16.0
2000,2,5,-22.0,-14.3,-6.5,0.0,0.0,16.0
2000,2,6,-14.5,-8.5,-2.5,0.0,0.0,16.0
2000,2,7,-11.0,-7.3,-3.5,0.0,0.0,15.0
2000,2,8,-25.0,-14.8,-4.5,0.0,0.0,15.0
2000,2,9,-11.0,-5.0,1.0,3.6,3.6,14.0
2000,2,10,-18.0,-10.8,-3.5,13.6,13.6,14.0
2000,2,11,-10.0,-6.5,-3.0,3.4,3.4,15.0
2000,2,12,-19.5,-14.5,-9.5,0.0,0.0,16.0
2000,2,13,-23.0,-14.5,-6.0,14.0,14.0,16.0
2000,2,14,-10.0,-7.5,-5.0,8.2,8.2,25.0
2000,2,15,-7.5,-3.8,0.0,5.0,5.0,25.0
2000,2,16,-8.0,-4.3,-0.5,3.0,3.0,28.0
2000,2,17,-18.0,-11.5,-5.0,0.0,0.0,28.0
2000,2,18,-22.0,-16.3,-10.5,0.0,0.0,30.0
2000,2,19,-14.0,-8.5,-3.0,0.0,0.0,28.0
2000,2,20,-18.0,-10.0,-2.0,0.0,0.0,28.0
2000,2,21,-17.0,-10.5,-4.0,0.0,0.0,28.0
2000,2,22,-10.0,-2.8,4.5,0.0,0.0,28.0
2000,2,23,-3.5,1.0,5.5,1.0,0.0,28.0
2000,2,24,-3.5,1.8,7.0,0.0,0.0,27.0
2000,2,25,-3.0,-1.0,1.0,0.0,0.0,26.0
2000,2,26,-1.5,2.5,6.5,0.0,0.0,25.0
2000,2,27,-0.5,4.8,10.0,2.0,0.0,20.0
2000,2,28,3.0,5.0,7.0,0.0,0.0,10.0
2000,2,29,-2.0,2.5,7.0,0.0,0.0,10.0
2000,3,1,-4.0,-0.3,3.5,3.3,0.0,5.0
2000,3,2,0.5,1.8,3.0,2.2,0.5,5.0
2000,3,3,-2.0,-0.3,1.5,0.0,0.0,5.0
2000,3,4,-3.5,-0.3,3.0,0.0,0.0,5.0
2000,3,5,0.0,3.3,6.5,0.0,0.0,5.0
2000,3,6,-4.0,0.5,5.0,0.0,0.0,0.0
2000,3,7,-0.5,3.8,8.0,0.0,0.0,0.0
2000,3,8,-1.0,2.3,5.5,0.0,0.0,0.0
2000,3,9,0.5,7.5,14.5,3.4,1.6,0.0
2000,3,10,-13.0,-7.8,-2.5,0.0,0.0,0.0
2000,3,11,-6.0,-4.0,-2.0,13.0,13.0,0.0
2000,3,12,-4.0,-1.3,1.5,3.0,3.0,13.0
2000,3,13,-11.0,-6.8,-2.5,2.0,2.0,8.0
2000,3,14,-12.0,-4.3,3.5,2.0,2.0,9.0
2000,3,15,-5.0,-1.5,2.0,4.0,0.0,8.0
2000,3,16,-2.5,-1.0,0.5,0.2,0.0,7.0
2000,3,17,-9.0,-6.0,-3.0,0.0,0.0,5.0
2000,3,18,-13.5,-8.0,-2.5,0.0,0.0,5.0
2000,3,19,-10.0,-3.0,4.0,0.0,0.0,5.0
2000,3,20,-2.0,2.0,6.0,0.0,0.0,2.0
2000,3,21,-2.0,3.3,8.5,0.0,0.0,0.0
2000,3,22,-2.0,3.5,9.0,0.0,0.0,0.0
2000,3,23,-1.0,7.5,16.0,0.0,0.0,0.0
2000,3,24,-1.0,5.8,12.5,0.0,0.0,0.0
2000,3,25,0.0,3.3,6.5,5.3,0.0,0.0
2000,3,26,0.0,4.8,9.5,0.0,0.0,0.0
2000,3,27,0.0,6.0,12.0,2.4,0.0,0.0
2000,3,28,4.0,5.5,7.0,26.4,0.0,0.0
2000,3,29,3.0,4.5,6.0,4.8,0.0,0.0
2000,3,30,1.0,3.5,6.0,0.6,0.0,0.0
2000,3,31,0.5,4.3,8.0,0.0,0.0,0.0
2000,4,1,0.0,7.0,14.0,0.0,0.0,0.0
2000,4,2,7.0,9.5,12.0,2.2,0.0,0.0
2000,4,3,-2.0,4.0,10.0,9.6,0.0,0.0
2000,4,4,5.0,7.0,9.0,4.5,0.0,0.0
2000,4,5,-0.5,2.3,5.0,0.4,0.4,0.0
2000,4,6,-2.0,1.8,5.5,2.8,0.0,0.0
2000,4,7,1.0,5.5,10.0,15.0,0.0,0.0
2000,4,8,1.0,2.5,4.0,31.1,15.3,0.0
2000,4,9,-3.0,-1.0,1.0,18.0,18.0,15.0
2000,4,10,-2.0,2.3,6.5,0.0,0.0,30.0
2000,4,11,-6.0,-2.5,1.0,1.2,1.2,16.0
2000,4,12,-3.5,0.8,5.0,0.0,0.0,15.0
2000,4,13,-6.0,0.5,7.0,0.0,0.0,10.0
2000,4,14,-3.0,3.5,10.0,0.0,0.0,2.0
2000,4,15,5.0,11.5,18.0,0.0,0.0,1.0
2000,4,16,3.5,6.3,9.0,0.0,0.0,0.0
2000,4,17,-3.0,1.3,5.5,0.0,0.0,0.0
2000,4,18,-1.0,5.3,11.5,0.0,0.0,0.0
2000,4,19,3.5,6.8,10.0,0.0,0.0,0.0
2000,4,20,5.0,9.3,13.5,2.0,0.0,0.0
2000,4,21,3.5,6.8,10.0,6.4,0.0,0.0
2000,4,22,4.0,4.8,5.5,7.2,0.0,0.0
2000,4,23,3.5,5.5,7.5,7.1,0.0,0.0
2000,4,24,5.0,8.5,12.0,0.0,0.0,0.0
2000,4,25,1.5,6.3,11.0,0.0,0.0,0.0
2000,4,26,2.5,7.0,11.5,0.0,0.0,0.0
2000,4,27,2.0,5.3,8.5,0.0,0.0,0.0
2000,4,28,2.5,9.8,17.0,0.0,0.0,0.0
2000,4,29,2.5,10.3,18.0,0.0,0.0,0.0
2000,4,30,3.0,7.8,12.5,0.0,0.0,0.0
2000,5,1,0.5,6.8,13.0,3.0,0.0,0.0
2000,5,2,4.0,8.5,13.0,0.0,0.0,0.0
2000,5,3,0.0,9.3,18.5,0.0,0.0,0.0
2000,5,4,4.5,14.3,24.0,1.4,0.0,0.0
2000,5,5,14.0,18.0,22.0,0.0,0.0,0.0
2000,5,6,9.0,12.8,16.5,2.8,0.0,0.0
2000,5,7,8.5,18.3,28.0,9.0,0.0,0.0
2000,5,8,11.0,15.5,20.0,29.0,0.0,0.0
2000,5,9,7.0,11.0,15.0,20.2,0.0,0.0
2000,5,10,6.0,8.0,10.0,22.0,0.0,0.0
2000,5,11,8.0,11.8,15.5,0.2,0.0,0.0
2000,5,12,5.0,11.3,17.6,3.4,0.0,0.0
2000,5,13,9.0,15.0,21.0,0.3,0.0,0.0
2000,5,14,9.0,13.0,17.0,1.6,0.0,0.0
2000,5,15,6.0,10.3,14.5,0.0,0.0,0.0
2000,5,16,4.5,11.3,18.0,0.0,0.0,0.0
2000,5,17,4.0,12.0,20.0,10.0,0.0,0.0
2000,5,18,9.0,12.0,15.0,10.0,0.0,0.0
2000,5,19,2.5,7.3,12.0,0.0,0.0,0.0
2000,5,20,2.5,10.3,18.0,0.0,0.0,0.0
2000,5,21,7.0,12.5,18.0,0.0,0.0,0.0
2000,5,22,8.5,13.5,18.5,0.0,0.0,0.0
2000,5,23,13.0,15.3,17.5,6.6,0.0,0.0
2000,5,24,10.5,12.8,15.0,19.0,0.0,0.0
2000,5,25,10.0,14.5,19.0,7.7,0.0,0.0
2000,5,26,10.0,14.0,18.0,-999.0,-999.0,0.0
2000,5,27,9.0,12.8,16.5,0.0,0.0,0.0
2000,5,28,8.5,12.8,17.0,0.0,0.0,0.0
2000,5,29,8.0,12.8,17.5,0.0,0.0,0.0
2000,5,30,9.0,16.3,23.5,0.0,0.0,0.0
2000,5,31,13.5,16.8,20.0,0.8,0.0,0.0
2000,6,1,13.5,19.8,26.0,0.0,0.0,0.0
2000,6,2,12.0,15.3,18.5,6.8,0.0,0.0
2000,6,3,9.0,15.3,21.5,0.0,0.0,0.0
2000,6,4,9.5,11.5,13.5,1.5,0.0,0.0
2000,6,5,2.0,10.3,18.5,1.3,0.0,0.0
2000,6,6,11.0,12.8,14.5,4.0,0.0,0.0
2000,6,7,8.0,14.5,21.0,0.0,0.0,0.0
2000,6,8,8.0,13.8,19.5,10.4,0.0,0.0
2000,6,9,11.0,15.5,20.0,0.0,0.0,0.0
2000,6,10,11.0,11.5,12.0,17.8,0.0,0.0
2000,6,11,7.0,11.3,15.5,0.4,0.0,0.0
2000,6,12,7.0,13.8,20.5,0.0,0.0,0.0
2000,6,13,10.0,16.3,22.5,0.0,0.0,0.0
2000,6,14,13.0,15.8,18.5,0.0,0.0,0.0
2000,6,15,14.0,20.5,27.0,8.0,0.0,0.0
2000,6,16,18.5,23.5,28.5,0.0,0.0,0.0
2000,6,17,20.5,22.5,24.5,0.0,0.0,0.0
2000,6,18,11.0,13.3,15.5,0.6,0.0,0.0
2000,6,19,8.0,15.5,23.0,3.3,0.0,0.0
2000,6,20,12.0,19.5,27.0,0.0,0.0,0.0
2000,6,21,17.0,19.5,22.0,21.2,0.0,0.0
2000,6,22,18.0,22.0,26.0,3.8,0.0,0.0
2000,6,23,15.5,19.8,24.0,0.0,0.0,0.0
2000,6,24,12.0,18.5,25.0,22.0,0.0,0.0
2000,6,25,19.0,21.8,24.5,48.0,0.0,0.0
2000,6,26,19.0,24.5,30.0,16.4,0.0,0.0
2000,6,27,19.5,23.0,26.5,0.0,0.0,0.0
