Year,Month,Day,Tmin,Tair,Tmax,Prcp,Snow,SnDh
2000,1,1,-12.0,-6.5,-1.0,4.4,4.4,-999.0
2000,1,2,-8.0,-5.5,-3.0,-999.0,-999.0,16.0
2000,1,3,-8.0,-6.0,-4.0,-999.0,-999.0,16.0
2000,1,4,-9.5,-3.3,3.0,-999.0,-999.0,16.0
2000,1,5,-20.0,-17.0,-14.0,0.0,0.0,16.0
2000,1,6,-20.0,-13.0,-6.0,0.0,0.0,16.0
2000,1,7,-9.0,-5.5,-2.0,0.0,0.0,16.0
2000,1,8,-16.0,-11.3,-6.5,-999.0,-999.0,16.0
2000,1,9,-10.0,-6.0,-2.0,0.0,0.0,19.0
2000,1,10,-4.0,-1.5,1.0,19.2,19.2,19.0
2000,1,11,-2.0,0.0,2.0,0.0,0.0,42.0
2000,1,12,-15.0,-11.5,-8.0,0.0,0.0,32.0
2000,1,13,-24.5,-20.3,-16.0,0.0,0.0,30.0
2000,1,14,-27.0,-23.8,-20.5,0.0,0.0,30.0
2000,1,15,-35.0,-23.8,-12.5,5.8,5.8,30.0
2000,1,16,-20.5,-14.8,-9.0,3.0,3.0,36.0
2000,1,17,-30.0,-25.0,-20.0,0.0,0.0,38.0
2000,1,18,-36.5,-27.0,-17.5,0.0,0.0,38.0
2000,1,19,-36.0,-25.5,-15.0,0.0,0.0,38.0
2000,1,20,-25.0,-19.0,-13.0,0.0,0.0,38.0
2000,1,21,-25.0,-20.0,-15.0,0.0,0.0,38.0
2000,1,22,-29.0,-25.0,-21.0,0.0,0.0,38.0
2000,1,23,-35.0,-23.0,-11.0,5.8,5.8,38.0
2000,1,24,-15.0,-10.0,-5.0,0.0,0.0,44.0
2000,1,25,-25.0,-16.5,-8.0,9.0,9.0,-999.0
2000,1,26,-15.0,-12.5,-10.0,-999.0,-999.0,48.0
2000,1,27,-24.0,-19.5,-15.0,0.0,0.0,48.0
2000,1,28,-22.0,-17.8,-13.5,0.0,0.0,48.0
2000,1,29,-28.0,-14.3,-0.5,0.0,0.0,48.0
2000,1,30,-16.0,-5.5,5.0,0.6,0.6,47.0
2000,1,31,-9.0,-6.5,-4.0,5.8,5.8,47.0
2000,2,1,-10.0,-6.5,-3.0,0.6,0.6,-999.0
2000,2,2,-21.0,-17.8,-14.5,0.0,0.0,49.0
2000,2,3,-24.0,-18.8,-13.5,0.0,0.0,49.0
2000,2,4,-31.5,-19.0,-6.5,0.0,0.0,48.0
2000,2,5,-31.0,-19.0,-7.0,0.0,0.0,48.0
2000,2,6,-18.0,-14.3,-10.5,2.0,2.0,48.0
2000,2,7,-18.0,-15.3,-12.5,0.0,0.0,48.0
2000,2,8,-26.0,-15.5,-5.0,0.0,0.0,48.0
2000,2,9,-15.0,-8.3,-1.5,0.0,0.0,48.0
2000,2,10,-30.5,-18.5,-6.5,6.2,6.2,47.0
2000,2,11,-13.5,-10.0,-6.5,1.2,1.2,52.0
2000,2,12,-31.0,-18.8,-6.5,0.0,0.0,50.0
2000,2,13,-27.0,-16.5,-6.0,6.4,6.4,-999.0
2000,2,14,-14.0,-11.0,-8.0,-999.0,-999.0,55.0
2000,2,15,-17.0,-9.5,-2.0,2.8,2.8,60.0
2000,2,16,-17.5,-9.3,-1.0,1.4,1.4,61.0
2000,2,17,-22.0,-16.8,-11.5,0.0,0.0,61.0
2000,2,18,-28.0,-17.0,-6.0,0.0,0.0,59.0
2000,2,19,-29.0,-16.5,-4.0,0.0,0.0,59.0
2000,2,20,-17.0,-10.5,-4.0,0.6,0.6,58.0
2000,2,21,-20.5,-10.3,0.0,0.0,0.0,58.0
2000,2,22,-11.0,-3.0,5.0,0.0,0.0,58.0
2000,2,23,0.0,1.0,2.0,0.0,0.0,55.0
2000,2,24,-4.0,1.5,7.0,0.0,0.0,40.0
2000,2,25,-6.0,-0.8,4.5,0.0,0.0,40.0
2000,2,26,-1.0,2.0,5.0,0.0,0.0,40.0
2000,2,27,1.0,7.0,13.0,0.8,0.0,38.0
2000,2,28,-2.0,3.3,8.5,0.0,0.0,38.0
2000,2,29,-6.0,-1.0,4.0,0.0,0.0,35.0
2000,3,1,-10.0,-3.0,4.0,-999.0,-999.0,32.0
2000,3,2,1.0,2.0,3.0,3.2,0.0,29.0
2000,3,3,-7.0,-4.0,-1.0,0.0,0.0,29.0
2000,3,4,-9.0,-3.0,3.0,4.0,4.0,29.0
2000,3,5,-4.0,0.0,4.0,0.0,0.0,29.0
2000,3,6,-8.0,-4.0,0.0,0.0,0.0,28.0
2000,3,7,-5.5,2.3,10.0,0.0,0.0,26.0
2000,3,8,0.0,5.8,11.5,1.8,0.0,25.0
2000,3,9,-6.0,0.3,6.5,1.0,0.0,20.0
2000,3,10,-18.0,-11.0,-4.0,0.0,0.0,19.0
2000,3,11,-11.0,-7.0,-3.0,3.8,3.8,28.0
2000,3,12,-5.0,-2.5,0.0,4.8,4.8,31.0
2000,3,13,-18.0,-10.0,-2.0,0.2,0.2,30.0
