Year,Month,Day,Tmin,Tair,Tmax,Prcp,Snow,SnDh
2000,1,1,-15.0,-7.8,-0.5,3.0,3.0,-999.0
2000,1,2,-3.0,2.3,7.5,5.8,0.8,24.0
2000,1,3,-9.0,-6.5,-4.0,0.8,0.8,10.0
2000,1,4,-9.0,-1.3,6.5,5.6,0.0,10.0
2000,1,5,-15.0,-13.3,-11.5,0.0,0.0,6.0
2000,1,6,-18.0,-10.0,-2.0,0.0,0.0,6.0
2000,1,7,-6.5,-3.8,-1.0,4.0,4.0,6.0
2000,1,8,-15.0,-8.5,-2.0,2.2,2.2,8.0
2000,1,9,-8.5,-4.3,0.0,3.2,3.2,10.0
2000,1,10,-6.0,-2.5,1.0,21.0,21.0,10.0
2000,1,11,-3.5,-0.8,2.0,1.6,0.4,30.0
2000,1,12,-11.0,-8.5,-6.0,0.0,0.0,24.0
2000,1,13,-20.5,-19.0,-17.5,0.0,0.0,24.0
2000,1,14,-26.0,-23.0,-20.0,0.0,0.0,24.0
2000,1,15,-999.0,-999.0,-999.0,-999.0,-999.0,24.0
2000,1,17,-24.0,-23.0,-22.0,0.0,0.0,42.0
2000,1,18,-29.5,-24.8,-20.0,0.0,0.0,42.0
2000,1,19,-31.5,-23.5,-15.5,0.0,0.0,42.0
2000,1,20,-26.5,-18.3,-10.0,0.5,0.5,38.0
2000,1,21,-21.0,-19.5,-18.0,1.4,1.4,37.0
2000,1,22,-25.0,-23.0,-21.0,0.0,0.0,38.0
2000,1,23,-30.0,-19.5,-9.0,0.8,0.8,38.0
2000,1,24,-19.5,-12.0,-4.5,0.6,0.6,36.0
2000,1,25,-20.0,-13.5,-7.0,14.2,14.2,36.0
2000,1,26,-10.0,-7.8,-5.5,8.6,8.6,48.0
2000,1,27,-20.0,-18.3,-16.5,0.4,0.4,56.0
2000,1,28,-22.5,-20.5,-18.5,1.0,1.0,54.0
2000,1,29,-20.0,-15.0,-10.0,0.0,0.0,54.0
2000,1,30,-15.5,-8.0,-0.5,4.0,4.0,52.0
2000,1,31,-13.5,-7.3,-1.0,13.0,13.0,54.0
2000,2,1,-7.0,-5.8,-4.5,9.0,9.0,62.0
2000,2,2,-19.0,-17.5,-16.0,0.4,0.4,66.0
2000,2,3,-20.0,-16.8,-13.5,0.0,0.0,62.0
2000,2,4,-27.0,-16.5,-6.0,0.0,0.0,60.0
2000,2,5,-24.0,-16.5,-9.0,1.2,1.2,60.0
2000,2,6,-19.0,-12.5,-6.0,1.2,1.2,60.0
2000,2,7,-16.5,-11.3,-6.0,0.5,0.5,56.0
2000,2,8,-22.5,-14.3,-6.0,0.0,0.0,56.0
2000,2,9,-14.0,-8.5,-3.0,2.2,2.2,-999.0
2000,2,10,-26.0,-16.5,-7.0,5.5,5.5,55.0
2000,2,11,-10.5,-6.3,-2.0,3.0,3.0,58.0
2000,2,12,-21.5,-16.3,-11.0,0.0,0.0,60.0
2000,2,13,-23.5,-14.5,-5.5,7.0,7.0,60.0
2000,2,14,-8.5,-7.5,-6.5,17.2,17.2,70.0
2000,2,15,-10.0,-7.8,-5.5,1.0,1.0,90.0
2000,2,16,-16.0,-8.8,-1.5,10.5,10.5,88.0
2000,2,17,-22.5,-19.8,-17.0,0.0,0.0,92.0
2000,2,18,-27.5,-17.8,-8.0,0.0,0.0,90.0
2000,2,19,-17.5,-9.3,-1.0,0.0,0.0,86.0
2000,2,20,-21.0,-12.8,-4.5,0.0,0.0,86.0
2000,2,21,-16.5,-12.3,-8.0,0.0,0.0,84.0
