Year,Month,Day,Tmin,Tair,Tmax,Prcp,Snow,SnDh
2000,1,1,-18.0,-8.3,1.5,1.0,1.0,20.0
2000,1,2,-4.5,-1.5,1.5,21.6,0.0,20.0
2000,1,3,-7.5,-4.0,-0.5,0.0,0.0,8.0
2000,1,4,-9.5,-1.0,7.5,3.0,0.0,8.0
2000,1,5,-15.0,-12.5,-10.0,0.0,0.0,8.0
2000,1,6,-20.0,-11.0,-2.0,0.0,0.0,8.0
2000,1,7,-7.0,-3.5,0.0,1.8,1.8,8.0
2000,1,8,-12.5,-7.0,-1.5,1.4,1.4,10.0
2000,1,9,-7.5,-2.8,2.0,1.6,1.6,10.0
2000,1,10,-4.0,-0.5,3.0,9.8,9.8,10.0
2000,1,11,-4.0,0.8,5.5,0.0,0.0,30.0
2000,1,12,-8.5,-4.8,-1.0,0.0,0.0,30.0
2000,1,13,-18.5,-17.3,-16.0,0.0,0.0,30.0
2000,1,14,-23.0,-19.3,-15.5,0.0,0.0,28.0
2000,1,15,-27.0,-18.5,-10.0,4.8,4.8,28.0
2000,1,16,-26.0,-16.0,-6.0,0.8,0.8,28.0
2000,1,17,-28.0,-22.5,-17.0,0.0,0.0,28.0
2000,1,18,-34.0,-26.0,-18.0,0.0,0.0,28.0
2000,1,19,-34.5,-26.8,-19.0,0.0,0.0,28.0
2000,1,20,-30.0,-22.5,-15.0,0.0,0.0,28.0
2000,1,21,-21.0,-18.0,-15.0,0.0,0.0,28.0
2000,1,22,-23.0,-20.8,-18.5,0.0,0.0,24.0
2000,1,23,-29.0,-19.8,-10.5,0.0,0.0,24.0
2000,1,24,-21.5,-12.5,-3.5,1.8,1.8,24.0
2000,1,25,-21.0,-13.0,-5.0,11.8,11.8,24.0
2000,1,26,-9.0,-6.8,-4.5,0.0,0.0,32.0
2000,1,27,-18.0,-14.0,-10.0,0.0,0.0,32.0
2000,1,28,-21.0,-17.3,-13.5,0.0,0.0,32.0
2000,1,29,-24.5,-17.0,-9.5,0.0,0.0,32.0
